Variable,Variable label
other_light_hr_Sum                                                                                                                                                              , Other light time (hrs/d)     
other_mod_hr_Sum                                                                                                                                                          ,Other moderate time (hrs/d)
other_vig_hr_Sum                                                                                                                                                ,Other vigorous time (hrs/d)                   
other_tot_methr_Sum                                                                                                                                                 ,
                                                                                                                                                                                                                   ,
lt_tvtime_tot_hr_Sum                                                                                                                                         ,Total leisure tv time (hrs/d)
lt_tvtime_sed_hr_Sum                                                                                                                                                        ,Leisure tv sedentary time (hrs/d)
lt_tvtime_act_hr_Sum                                                                                                                                                  ,Leisure tv active time (hrs/d)
lt_tvtime_light_hr_Sum                                                                                                                                            ,Leisure tv light time (hrs/d)
lt_tvtime_mod_hr_Sum                                                                                                                                                ,Leisure tv moderate time (hrs/d)
lt_tvtime_vig_hr_Sum                                                                                                                   ,Leisure tv vigorous time (hrs/d)
lt_tvtime_tot_methr_Sum                                                                                                                             ,Total leisure tv energy time (MET-hrs/d)
                                                                                                                                                                                                                   ,
lt_internetcomp_tot_hr_Sum                                                                                                                                      ,Total leisure computer time (hrs/d)
lt_internetcomp_sed_hr_Sum                                                                                                                               ,Leisure computer sedentary time (hrs/d)
lt_internetcomp_act_hr_Sum                                                                                                                       ,Leisure computer active time (hrs/d)
lt_internetcomp_light_hr_Sum                                                                                                                    ,Leisure computer light time (hrs/d)                            
lt_internetcomp_mod_hr_Sum                                                                                                    ,Leisure computer moderate time (hrs/d)
lt_internetcomp_vig_hr_Sum                                                                                                                                          ,Leisure computer vigorous time (hrs/d)
lt_internetcomp_tot_methr_Sum                                                                                            ,Total leisure computer energy (MET-hrs/d)
                                                                                                                                                                                                                   ,
lt_social_tot_hr_Sum                                                                                                                     ,Total leisure social time (hrs/d)                         
lt_social_sed_hr_Sum                                                                                ,Leisure social sedentary time (hrs/d)                                                                  
lt_social_act_hr_Sum                                                                                             ,Leisure social active time (hrs/d)                                                          
lt_social_light_hr_Sum                                                                                                                                      ,Leisure social light time (hrs/d)
lt_social_mod_hr_Sum                                                                                                                                                       ,Leisure social moderate time (hrs/d) 
lt_social_vig_hr_Sum                                                                                                                                                 ,Leisure social vigorous time (hrs/d)
lt_social_tot_methr_Sum                                                                                                                                   ,Total leisure social energy (MET-hrs/d)            
                                                                                                                                                                                                                   ,
                                                                                                                                                                                                                   ,
lt_readsit_tot_hr_Sum                                                                                                                                          ,Total leisure read and sit time (hrs/d)
lt_readsit_sed_hr_Sum                                                                                                                                               ,Leisure read and sit sedentary time (hrs/d)
